hanja,hangul,source
感,감,xetexko-hanja_hangul.tab
漢,한,xetexko-hanja_hangul.tab
館,관,xetexko-hanja_hangul.tab
岸,안,xetexko-hanja_hangul.tab
起,기,xetexko-hanja_hangul.tab
期,기,xetexko-hanja_hangul.tab
客,객,xetexko-hanja_hangul.tab
究,구,xetexko-hanja_hangul.tab
急,급,xetexko-hanja_hangul.tab
級,급,xetexko-hanja_hangul.tab
宮,궁,xetexko-hanja_hangul.tab
球,구,xetexko-hanja_hangul.tab
去,거,xetexko-hanja_hangul.tab
橋,교,xetexko-hanja_hangul.tab
業,업,xetexko-hanja_hangul.tab
曲,곡,xetexko-hanja_hangul.tab
局,국,xetexko-hanja_hangul.tab
銀,은,xetexko-hanja_hangul.tab
区,구,xetexko-hanja_hangul.tab
苦,고,xetexko-hanja_hangul.tab
具,구,xetexko-hanja_hangul.tab
君,군,xetexko-hanja_hangul.tab
係,계,xetexko-hanja_hangul.tab
軽,경,xetexko-hanja_hangul.tab
血,혈,xetexko-hanja_hangul.tab
決,결,xetexko-hanja_hangul.tab
研,연,xetexko-hanja_hangul.tab
県,현,xetexko-hanja_hangul.tab
庫,고,xetexko-hanja_hangul.tab
湖,호,xetexko-hanja_hangul.tab
向,향,xetexko-hanja_hangul.tab
幸,행,xetexko-hanja_hangul.tab
港,항,xetexko-hanja_hangul.tab
号,호,xetexko-hanja_hangul.tab
根,근,xetexko-hanja_hangul.tab
祭,제,xetexko-hanja_hangul.tab
皿,명,xetexko-hanja_hangul.tab
仕,사,xetexko-hanja_hangul.tab
死,사,xetexko-hanja_hangul.tab
使,사,xetexko-hanja_hangul.tab
始,시,xetexko-hanja_hangul.tab
指,지,xetexko-hanja_hangul.tab
歯,치,xetexko-hanja_hangul.tab
詩,시,xetexko-hanja_hangul.tab
次,차,xetexko-hanja_hangul.tab
事,사,xetexko-hanja_hangul.tab
持,지,xetexko-hanja_hangul.tab
式,식,xetexko-hanja_hangul.tab
実,실,xetexko-hanja_hangul.tab
写,사,xetexko-hanja_hangul.tab
者,자,xetexko-hanja_hangul.tab
主,주,xetexko-hanja_hangul.tab
守,수,xetexko-hanja_hangul.tab
取,취,xetexko-hanja_hangul.tab
酒,주,xetexko-hanja_hangul.tab
受,수,xetexko-hanja_hangul.tab
州,주,xetexko-hanja_hangul.tab
拾,습,xetexko-hanja_hangul.tab
終,종,xetexko-hanja_hangul.tab
習,습,xetexko-hanja_hangul.tab
集,집,xetexko-hanja_hangul.tab
住,주,xetexko-hanja_hangul.tab
重,중,xetexko-hanja_hangul.tab
宿,숙,xetexko-hanja_hangul.tab
所,소,xetexko-hanja_hangul.tab
暑,서,xetexko-hanja_hangul.tab
助,조,xetexko-hanja_hangul.tab
昭,소,xetexko-hanja_hangul.tab
消,소,xetexko-hanja_hangul.tab
商,상,xetexko-hanja_hangul.tab
章,장,xetexko-hanja_hangul.tab
勝,승,xetexko-hanja_hangul.tab
乗,승,xetexko-hanja_hangul.tab
植,식,xetexko-hanja_hangul.tab
申,신,xetexko-hanja_hangul.tab
身,신,xetexko-hanja_hangul.tab
神,신,xetexko-hanja_hangul.tab
真,진,xetexko-hanja_hangul.tab
深,심,xetexko-hanja_hangul.tab
進,진,xetexko-hanja_hangul.tab
世,세,xetexko-hanja_hangul.tab
整,정,xetexko-hanja_hangul.tab
昔,석,xetexko-hanja_hangul.tab
全,전,xetexko-hanja_hangul.tab
相,상,xetexko-hanja_hangul.tab
送,송,xetexko-hanja_hangul.tab
想,상,xetexko-hanja_hangul.tab
息,식,xetexko-hanja_hangul.tab
速,속,xetexko-hanja_hangul.tab
族,족,xetexko-hanja_hangul.tab
他,타,xetexko-hanja_hangul.tab
打,타,xetexko-hanja_hangul.tab
対,대,xetexko-hanja_hangul.tab
待,대,xetexko-hanja_hangul.tab
代,대,xetexko-hanja_hangul.tab
第,제,xetexko-hanja_hangul.tab
題,제,xetexko-hanja_hangul.tab
炭,탄,xetexko-hanja_hangul.tab
短,단,xetexko-hanja_hangul.tab
談,담,xetexko-hanja_hangul.tab
着,착,xetexko-hanja_hangul.tab
注,주,xetexko-hanja_hangul.tab
柱,주,xetexko-hanja_hangul.tab
丁,정,xetexko-hanja_hangul.tab
帳,장,xetexko-hanja_hangul.tab
調,조,xetexko-hanja_hangul.tab
追,추,xetexko-hanja_hangul.tab
定,정,xetexko-hanja_hangul.tab
庭,정,xetexko-hanja_hangul.tab
笛,적,xetexko-hanja_hangul.tab
鉄,철,xetexko-hanja_hangul.tab
転,전,xetexko-hanja_hangul.tab
都,도,xetexko-hanja_hangul.tab
度,도,xetexko-hanja_hangul.tab
投,투,xetexko-hanja_hangul.tab
豆,두,xetexko-hanja_hangul.tab
島,도,xetexko-hanja_hangul.tab
湯,탕,xetexko-hanja_hangul.tab
登,등,xetexko-hanja_hangul.tab
等,등,xetexko-hanja_hangul.tab
動,동,xetexko-hanja_hangul.tab
童,동,xetexko-hanja_hangul.tab
農,농,xetexko-hanja_hangul.tab
波,파,xetexko-hanja_hangul.tab
配,배,xetexko-hanja_hangul.tab
倍,배,xetexko-hanja_hangul.tab
箱,상,xetexko-hanja_hangul.tab
畑,전,xetexko-hanja_hangul.tab
発,발,xetexko-hanja_hangul.tab
反,반,xetexko-hanja_hangul.tab
坂,판,xetexko-hanja_hangul.tab
板,판,xetexko-hanja_hangul.tab
皮,피,xetexko-hanja_hangul.tab
悲,비,xetexko-hanja_hangul.tab
美,미,xetexko-hanja_hangul.tab
鼻,비,xetexko-hanja_hangul.tab
筆,필,xetexko-hanja_hangul.tab
氷,빙,xetexko-hanja_hangul.tab
表,표,xetexko-hanja_hangul.tab
秒,초,xetexko-hanja_hangul.tab
病,병,xetexko-hanja_hangul.tab
品,품,xetexko-hanja_hangul.tab
負,부,xetexko-hanja_hangul.tab
部,부,xetexko-hanja_hangul.tab
服,복,xetexko-hanja_hangul.tab
福,복,xetexko-hanja_hangul.tab
物,물,xetexko-hanja_hangul.tab
平,평,xetexko-hanja_hangul.tab
返,반,xetexko-hanja_hangul.tab
勉,면,xetexko-hanja_hangul.tab
放,방,xetexko-hanja_hangul.tab
味,미,xetexko-hanja_hangul.tab
命,명,xetexko-hanja_hangul.tab
面,면,xetexko-hanja_hangul.tab
問,문,xetexko-hanja_hangul.tab
役,역,xetexko-hanja_hangul.tab
薬,약,xetexko-hanja_hangul.tab
由,유,xetexko-hanja_hangul.tab
油,유,xetexko-hanja_hangul.tab
有,유,xetexko-hanja_hangul.tab
遊,유,xetexko-hanja_hangul.tab
予,여,xetexko-hanja_hangul.tab
羊,양,xetexko-hanja_hangul.tab
洋,양,xetexko-hanja_hangul.tab
葉,엽,xetexko-hanja_hangul.tab
陽,양,xetexko-hanja_hangul.tab
様,양,xetexko-hanja_hangul.tab
落,낙,xetexko-hanja_hangul.tab
流,유,xetexko-hanja_hangul.tab
旅,여,xetexko-hanja_hangul.tab
両,량,xetexko-hanja_hangul.tab
緑,록,xetexko-hanja_hangul.tab
礼,례,xetexko-hanja_hangul.tab
列,열,xetexko-hanja_hangul.tab
練,연,xetexko-hanja_hangul.tab
路,노,xetexko-hanja_hangul.tab
和,화,xetexko-hanja_hangul.tab
象,상,xetexko-hanja_hangul.tab
胆,단,xetexko-hanja_hangul.tab
凶,흉,xetexko-hanja_hangul.tab
笑,소,xetexko-hanja_hangul.tab
担,단,xetexko-hanja_hangul.tab
菅,관,xetexko-hanja_hangul.tab
河,하,xetexko-hanja_hangul.tab
製,제,xetexko-hanja_hangul.tab
版,판,xetexko-hanja_hangul.tab
設,설,xetexko-hanja_hangul.tab
示,시,xetexko-hanja_hangul.tab
験,험,xetexko-hanja_hangul.tab
未,미,xetexko-hanja_hangul.tab
各,각,xetexko-hanja_hangul.tab
種,종,xetexko-hanja_hangul.tab
攻,공,xetexko-hanja_hangul.tab
撃,격,xetexko-hanja_hangul.tab
込,입,xetexko-hanja_hangul.tab
移,이,xetexko-hanja_hangul.tab
押,압,xetexko-hanja_hangul.tab
辺,변,xetexko-hanja_hangul.tab
幅,폭,xetexko-hanja_hangul.tab
質,질,xetexko-hanja_hangul.tab
量,양,xetexko-hanja_hangul.tab
解,해,xetexko-hanja_hangul.tab
除,제,xetexko-hanja_hangul.tab
駒,구,xetexko-hanja_hangul.tab
座,좌,xetexko-hanja_hangul.tab
標,표,xetexko-hanja_hangul.tab
軸,축,xetexko-hanja_hangul.tab
非,비,xetexko-hanja_hangul.tab
値,치,xetexko-hanja_hangul.tab
簡,간,xetexko-hanja_hangul.tab
易,역,xetexko-hanja_hangul.tab
初,초,xetexko-hanja_hangul.tab
保,보,xetexko-hanja_hangul.tab
存,존,xetexko-hanja_hangul.tab
般,반,xetexko-hanja_hangul.tab
専,부,xetexko-hanja_hangul.tab
型,형,xetexko-hanja_hangul.tab
欠,흠,xetexko-hanja_hangul.tab
戦,전,xetexko-hanja_hangul.tab
闘,투,xetexko-hanja_hangul.tab
機,기,xetexko-hanja_hangul.tab
武,무,xetexko-hanja_hangul.tab
敵,적,xetexko-hanja_hangul.tab
宇,우,xetexko-hanja_hangul.tab
宙,주,xetexko-hanja_hangul.tab
域,역,xetexko-hanja_hangul.tab
砂,사,xetexko-hanja_hangul.tab
浜,빈,xetexko-hanja_hangul.tab
圏,권,xetexko-hanja_hangul.tab
底,저,xetexko-hanja_hangul.tab
層,층,xetexko-hanja_hangul.tab
漠,막,xetexko-hanja_hangul.tab
廃,폐,xetexko-hanja_hangul.tab
墟,허,xetexko-hanja_hangul.tab
雷,뇌,xetexko-hanja_hangul.tab
現,현,xetexko-hanja_hangul.tab
